,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15
BOOKS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BREACH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BY,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Babel,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Babylon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Babylonian,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bachelor,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Back,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Back_,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Bad,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Baden-Baden,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Baleine,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Baling,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bally,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Baltic,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
Baltimore,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bamboo-Town,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bang,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Banks,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0
Barbary,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Bare-headed,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bargain,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Baron,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Barrens,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bartholomew,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Base,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bashaw,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bashee,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Basilosaurus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bastille,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Battering-Ram,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Battery,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
Bays,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Be,1,0,0,1,1,2,1,1,1,1,1,1,1,2,0
Beach,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Beale,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
Beams,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bear,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0
Bears,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Beat,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Because,0,0,1,2,1,0,1,2,1,0,0,3,5,2,0
Becket,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bedford,4,0,10,1,0,1,0,0,0,1,0,0,1,0,0
Beelzebub,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Befooled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Before,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1
Begone,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Behold,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Behring,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Being,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
Belated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belial,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Believe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Belisarius,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bell-boy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bellies,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Beloved,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Below,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Belshazzar,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
Belubed,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bench,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bendigoes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Beneath,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Bengal,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Benjamin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Benjamin—this,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bennett,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
